sku,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C000125,0,15798,13584,10815,0,0,0,0,0,14779,15798,17225,18855,19875,12565,13584,15011,16642,17661,9796,10815,12242,13873,14892
C000126,0,15798,13584,10815,0,0,0,0,0,14779,15798,17225,18855,19875,12565,13584,15011,16642,17661,9796,10815,12242,13873,14892
C000128,0,30457,26622,24201,0,0,0,0,0,26414,30457,33345,37966,40853,22579,26622,29509,34130,37018,20158,24201,27089,31709,34597
C000129,0,30457,26622,24201,0,0,0,0,0,26414,30457,33345,37966,40853,22579,26622,29509,34130,37018,20158,24201,27089,31709,34597
C000131,0,81791,78046,74232,0,0,0,0,0,73298,81791,90285,107272,115765,69552,78046,86539,103526,112019,65739,74232,82726,99713,108206
C000132,0,81791,78046,74232,0,0,0,0,0,73298,81791,90285,107272,115765,69552,78046,86539,103526,112019,65739,74232,82726,99713,108206
C000134,0,18533,16282,13493,0,0,0,0,0,16392,18533,20061,22508,24036,14142,16282,17811,20257,21786,11352,13493,15021,17468,18996
C000135,0,18533,16282,13493,0,0,0,0,0,16392,18533,20061,22508,24036,14142,16282,17811,20257,21786,11352,13493,15021,17468,18996
C000137,0,23663,20483,18341,0,0,0,0,0,20809,23663,25701,28962,31001,17629,20483,22521,25783,27821,15487,18341,20379,23641,25679
C000138,0,23663,20483,18341,0,0,0,0,0,20809,23663,25701,28962,31001,17629,20483,22521,25783,27821,15487,18341,20379,23641,25679
C000140,0,116445,111326,106507,0,0,0,0,0,107951,116445,133431,167405,188638,102833,111326,128313,162287,183520,98014,106507,123494,157468,178701
C000141,0,116445,111326,106507,0,0,0,0,0,107951,116445,133431,167405,188638,102833,111326,128313,162287,183520,98014,106507,123494,157468,178701
C000143,0,26652,22817,20396,0,0,0,0,0,23442,26652,28946,32615,34908,19606,22817,25110,28779,31072,17186,20396,22689,26358,28652
C000144,0,26652,22817,20396,0,0,0,0,0,23442,26652,28946,32615,34908,19606,22817,25110,28779,31072,17186,20396,22689,26358,28652
C000146,0,54698,48611,43401,0,0,0,0,0,50451,54698,60643,71684,75931,44364,48611,54557,65598,69845,39155,43401,49347,60388,64635
C000147,0,54698,48611,43401,0,0,0,0,0,50451,54698,60643,71684,75931,44364,48611,54557,65598,69845,39155,43401,49347,60388,64635
C000149,0,19314,14824,12123,0,0,0,0,0,18006,19314,20248,21743,22677,13516,14824,15759,17253,18188,10815,12123,13058,14553,15487
C000150,0,19314,14824,12123,0,0,0,0,0,18006,19314,20248,21743,22677,13516,14824,15759,17253,18188,10815,12123,13058,14553,15487
C000152,0,53525,48470,45117,0,0,0,0,0,45440,53525,59301,68542,74317,40384,48470,54246,63486,69262,37031,45117,50892,60133,65909
C000153,0,53525,48470,45117,0,0,0,0,0,45440,53525,59301,68542,74317,40384,48470,54246,63486,69262,37031,45117,50892,60133,65909
C000155,0,187619,183218,180145,0,0,0,0,0,169783,187619,223292,270855,312472,165382,183218,218890,266453,308071,162309,180145,215817,263380,304998
C000156,0,187619,183218,180145,0,0,0,0,0,169783,187619,223292,270855,312472,165382,183218,218890,266453,308071,162309,180145,215817,263380,304998
C000158,0,33481,28905,25766,0,0,0,0,0,29557,33481,36284,40768,43571,24981,28905,31708,36192,38995,21842,25766,28568,33053,35856
C000159,0,33481,28905,25766,0,0,0,0,0,29557,33481,36284,40768,43571,24981,28905,31708,36192,38995,21842,25766,28568,33053,35856
C000161,0,29166,24842,20787,0,0,0,0,0,26075,29166,31375,34908,37116,21750,24842,27050,30583,32791,17695,20787,22995,26528,28737
C000162,0,29166,24842,20787,0,0,0,0,0,26075,29166,31375,34908,37116,21750,24842,27050,30583,32791,17695,20787,22995,26528,28737
C000164,0,34194,29542,26367,0,0,0,0,0,30152,34194,37082,41703,44590,25499,29542,32430,37050,39938,22324,26367,29255,33875,36763
C000165,0,34194,29542,26367,0,0,0,0,0,30152,34194,37082,41703,44590,25499,29542,32430,37050,39938,22324,26367,29255,33875,36763
C000167,0,46816,40729,35519,0,0,0,0,0,41108,46816,50892,57415,61492,35022,40729,44806,51329,55406,29812,35519,39596,46119,50196
C000168,0,46816,40729,35519,0,0,0,0,0,41108,46816,50892,57415,61492,35022,40729,44806,51329,55406,29812,35519,39596,46119,50196
C000170,0,27824,23613,19615,0,0,0,0,0,24971,27824,29863,33124,35163,20760,23613,25652,28913,30952,16761,19615,21653,24915,26953
C000171,0,27824,23613,19615,0,0,0,0,0,24971,27824,29863,33124,35163,20760,23613,25652,28913,30952,16761,19615,21653,24915,26953
C000173,0,31782,26727,23374,0,0,0,0,0,28453,31782,34160,37966,40344,23398,26727,29105,32910,35288,20044,23374,25752,29557,31935
C000174,0,31782,26727,23374,0,0,0,0,0,28453,31782,34160,37966,40344,23398,26727,29105,32910,35288,20044,23374,25752,29557,31935
