sku,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C000125,0,18788,15758,12433,0,0,0,0,0,17650,18788,20382,22204,23343,14619,15758,17352,19174,20312,11294,12433,14027,15849,16987
C000126,0,18788,15758,12433,0,0,0,0,0,17650,18788,20382,22204,23343,14619,15758,17352,19174,20312,11294,12433,14027,15849,16987
C000128,0,35641,30545,27522,0,0,0,0,0,31124,35641,38867,44029,47255,26028,30545,33772,38934,42160,23005,27522,30748,35910,39137
C000129,0,35641,30545,27522,0,0,0,0,0,31124,35641,38867,44029,47255,26028,30545,33772,38934,42160,23005,27522,30748,35910,39137
C000131,0,93182,88119,83492,0,0,0,0,0,83693,93182,102672,121650,131139,78630,88119,97608,116586,126075,74003,83492,92981,111959,121448
C000132,0,93182,88119,83492,0,0,0,0,0,83693,93182,102672,121650,131139,78630,88119,97608,116586,126075,74003,83492,92981,111959,121448
C000134,0,23836,19802,17187,0,0,0,0,0,21445,23836,25545,28277,29985,17411,19802,21510,24243,25951,14795,17187,18895,21627,23335
C000135,0,23836,19802,17187,0,0,0,0,0,21445,23836,25545,28277,29985,17411,19802,21510,24243,25951,14795,17187,18895,21627,23335
C000137,0,27765,23592,20918,0,0,0,0,0,24577,27765,30042,33686,35964,20403,23592,25869,29513,31790,17729,20918,23195,26839,29116
C000138,0,27765,23592,20918,0,0,0,0,0,24577,27765,30042,33686,35964,20403,23592,25869,29513,31790,17729,20918,23195,26839,29116
C000140,0,132562,125635,119752,0,0,0,0,0,123073,132562,151540,189496,213219,116146,125635,144613,182569,206292,110263,119752,138730,176686,200409
C000141,0,132562,125635,119752,0,0,0,0,0,123073,132562,151540,189496,213219,116146,125635,144613,182569,206292,110263,119752,138730,176686,200409
C000143,0,31390,26294,23271,0,0,0,0,0,27803,31390,33952,38051,40613,22707,26294,28856,32955,35518,19684,23271,25833,29932,32494
C000144,0,31390,26294,23271,0,0,0,0,0,27803,31390,33952,38051,40613,22707,26294,28856,32955,35518,19684,23271,25833,29932,32494
C000146,0,63861,55699,49326,0,0,0,0,0,59117,63861,70504,82839,87584,50954,55699,62341,74677,79421,44581,49326,55968,68304,73049
C000147,0,63861,55699,49326,0,0,0,0,0,59117,63861,70504,82839,87584,50954,55699,62341,74677,79421,44581,49326,55968,68304,73049
C000149,0,23381,17456,14084,0,0,0,0,0,21920,23381,24425,26095,27139,15995,17456,18500,20170,21214,12622,14084,15127,16798,17841
C000150,0,23381,17456,14084,0,0,0,0,0,21920,23381,24425,26095,27139,15995,17456,18500,20170,21214,12622,14084,15127,16798,17841
C000152,0,61982,55262,51076,0,0,0,0,0,52949,61982,68435,78759,85212,46229,55262,61715,72039,78492,42042,51076,57528,67852,74305
C000153,0,61982,55262,51076,0,0,0,0,0,52949,61982,68435,78759,85212,46229,55262,61715,72039,78492,42042,51076,57528,67852,74305
C000155,0,211606,205715,201878,0,0,0,0,0,191679,211606,251460,304599,351095,185788,205715,245569,298708,345204,181951,201878,241732,294870,341367
C000156,0,211606,205715,201878,0,0,0,0,0,191679,211606,251460,304599,351095,185788,205715,245569,298708,345204,181951,201878,241732,294870,341367
C000158,0,39399,33333,29414,0,0,0,0,0,35015,39399,42530,47540,50672,28949,33333,36465,41475,44606,25030,29414,32546,37556,40687
C000159,0,39399,33333,29414,0,0,0,0,0,35015,39399,42530,47540,50672,28949,33333,36465,41475,44606,25030,29414,32546,37556,40687
C000161,0,34578,28759,23829,0,0,0,0,0,31124,34578,37045,40993,43460,25305,28759,31227,35174,37641,20375,23829,26296,30244,32711
C000162,0,34578,28759,23829,0,0,0,0,0,31124,34578,37045,40993,43460,25305,28759,31227,35174,37641,20375,23829,26296,30244,32711
C000164,0,40291,34056,30092,0,0,0,0,0,35774,40291,43517,48679,51905,29539,34056,37282,42445,45671,25575,30092,33318,38480,41706
C000165,0,40291,34056,30092,0,0,0,0,0,35774,40291,43517,48679,51905,29539,34056,37282,42445,45671,25575,30092,33318,38480,41706
C000167,0,55055,46893,40520,0,0,0,0,0,48679,55055,59610,66898,71453,40516,46893,51448,58735,63290,34144,40520,45075,52362,56917
C000168,0,55055,46893,40520,0,0,0,0,0,48679,55055,59610,66898,71453,40516,46893,51448,58735,63290,34144,40520,45075,52362,56917
