sku,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C007407,0,31680,25067,19064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007408,0,31680,25067,19064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007409,0,31680,25067,19064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007410,0,31680,25067,19064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007411,0,31680,25067,19064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007412,0,31680,25067,19064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007413,0,28776,22163,16160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007414,0,28776,22163,16160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007415,0,29098,22485,16482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007416,0,29098,22485,16482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007417,0,27162,20549,14546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007418,0,27162,20549,14546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007419,0,27323,20710,14707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007420,0,27323,20710,14707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007421,0,28453,21840,15837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007422,0,28453,21840,15837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007423,0,28453,21840,15837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007424,0,28453,21840,15837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007425,0,27162,20549,14546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007426,0,27162,20549,14546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
