SKU,22K,18K,14K,9K
C000125,,17100,14350,12250
C000126,,17100,14350,12250
C000127,,31350,,
C000128,,33400,29650,26700
C000129,,33400,29650,26700
C000130,,54950,,
C000131,,85550,81150,77650
C000132,,85550,81150,77650
C000133,,112000,,
C000134,,21350,18600,16450
C000135,,21350,18600,16450
C000136,,35900,,
C000137,,27300,23950,21300
C000138,,27300,23950,21300
C000139,,44900,,
C000140,,121400,115450,110700
C000141,,121400,115450,110700
C000142,,150050,,
C000143,,30700,27000,23950
C000144,,30700,27000,23950
C000145,,50450,,
C000146,,59900,53450,48200
C000147,,59900,53450,48200
C000148,,92700,,
C000149,,20950,16850,13600
C000150,,20950,16850,13600
C000151,,41300,,
C000152,,59100,53850,49650
C000153,,59100,53850,49650
C000154,,84500,,
C000155,,195100,190250,186300
C000156,,195100,190250,186300
C000157,,218350,,
C000158,,36600,31800,27900
C000159,,36600,31800,27900
C000160,,60300,,
C000161,,33200,28550,24800
C000162,,33200,28550,24800
C000163,,56050,,
C000164,,36050,31100,27200
C000165,,36050,31100,27200
C000166,,59950,,
C000167,,63500,56950,51700
C000168,,63500,56950,51700
C000169,,95200,,
C000170,,30600,26100,22400
C000171,,30600,26100,22400
C000172,,53100,,
C000173,,35100,29950,25800
C000174,,35100,29950,25800
C000175,,60350,,
C000176,,64250,57300,51750
C000177,,64250,57300,51750
C000178,,101450,,
C000179,,43200,37850,33550
C000180,,43200,37850,33550
C000181,,69200,,
C000182,,36450,32250,28900
C000183,,36450,32250,28900
C000184,,56900,,
C000185,,36100,30600,26250
C000186,,36100,30600,26250
C000187,,62700,,
C000188,,25700,21700,18500
C000189,,25700,21700,18500
C000190,,47050,,
C000191,,30400,26250,22950
C000192,,30400,26250,22950
C000193,,50750,,
C000194,,40200,32200,25750
C000195,,40200,32200,25750
C000196,,83700,,
C000197,,37300,33050,29600
C000198,,37300,33050,29600
C000199,,58800,,
C000200,,49950,41300,34300
C000201,,49950,41300,34300
C000202,,97200,,
C000203,,171350,157800,146850
C000204,,171350,157800,146850
C000205,,244450,,
C000206,,37300,32450,28500
C000207,,37300,32450,28500
C000208,,61200,,
C000209,,46850,42500,39050
C000210,,46850,42500,39050
C000211,,67950,,
C000212,,25350,20500,16600
C000213,,25350,20500,16600
C000214,,49200,,
C000215,,33400,29100,25650
C000216,,33400,29100,25650
C000217,,54500,,
C000218,,58300,51300,45750
C000219,,58300,51300,45750
C000220,,92050,,
C000221,,18500,15650,13350
C000222,,18500,15650,13350
C000223,,33800,,
C000224,,53150,44500,37500
C000225,,53150,44500,37500
C000226,,100400,,
C000227,,69550,60750,53750
C000228,,69550,60750,53750
C000229,,116900,,
C000230,,98650,82700,69850
C000231,,98650,82700,69850
C000232,,185200,,
C000233,,53450,43100,34750
C000234,,53450,43100,34750
C000235,,110050,,
C000236,,49300,43700,39150
C000237,,49300,43700,39150
C000238,,76800,,
C000239,,45550,38300,32500
C000240,,45250,38150,32400
C000241,,84800,,
C000242,,37300,33050,29600
C000243,,37300,33050,29600
C000244,,58350,,
C000245,,29150,26250,23900
C000246,,29150,26250,23900
C000247,,44500,,
C000248,,85800,79000,73550
C000249,,85800,79000,73550
C000250,,122300,,
C000251,,119000,112350,106950
C000252,,119000,112350,106950
C000253,,154800,,
C000254,,146400,139200,133350
C000255,,146400,139200,133350
C000256,,185150,,
C000257,,139650,132450,126650
C000258,,139650,132450,126650
C000259,,178350,,
C000260,,72050,58200,47150
C000261,,72050,58200,47150
C000262,,147100,,
C000263,,39300,32600,27250
C000264,,39300,32600,27250
C000265,,75650,,
C000266,,33450,28550,24700
C000267,,33450,28550,24700
C000268,,57350,,
C000269,,36700,31250,26850
C000270,,36700,31250,26850
C000271,,63300,,
C000272,,31900,26500,22150
C000273,,31900,26500,22150
C000274,,58450,,
C000275,,46850,40150,34750
C000276,,46850,40150,34750
C000277,,83250,,
C000278,,260550,254600,249750
C000279,,260550,254600,249750
C000280,,289400,,
C000281,,233650,226600,220900
C000282,,233650,226600,220900
C000283,,271300,,
C000284,,256050,250750,246350
C000285,,256050,250750,246350
C000286,,281850,,
C000287,,190150,185100,181050
C000288,,190150,185100,181050
C000289,,212550,,
C000290,,407900,400900,395350
C000291,,407900,400900,395350
C000292,,444400,,
C000293,,273350,265850,259850
C000294,,273350,265850,259850
C000295,,313200,,
C000296,,408800,402100,396700
C000297,,408800,402100,396700
C000298,,440500,,
C000299,,255850,250500,246300
C000300,,255850,250500,246300
C000301,,281300,,
C000302,,199500,193200,188200
C000303,,199500,193200,188200
C000304,,229750,,
C000305,,419250,412900,407800
C000306,,419250,412900,407800
C000307,,449150,,
C000308,,10900,8100,5900
C000309,,10900,8100,5900
C000310,,15550,,
C000311,,10900,8100,5900
C000312,,10900,8100,5900
C000313,,15550,,
C000314,,10900,8100,5900
C000315,,10900,8100,5900
C000316,,15550,,
C000317,,10900,8100,5900
C000318,,10900,8100,5900
C000319,,15550,,
C000320,,10900,8100,5900
C000321,,10900,8100,5900
C000322,,15550,,
C000323,,10900,8100,5900
C000324,,10900,8100,5900
C000325,,15550,,
C000326,,10900,8100,5900
C000327,,10900,8100,5900
C000328,,15550,,
C000329,,10900,8100,5900
C000330,,10900,8100,5900
C000331,,15550,,
C000332,,10900,8100,5900
C000333,,10900,8100,5900
C000334,,15550,,
C000335,,10900,8100,5900
C000336,,10900,8100,5900
C000337,,15550,,
C000338,,10900,8100,5900
C000339,,10900,8100,5900
C000340,,15550,,
C000341,,10900,8100,5900
C000342,,10900,8100,5900
C000343,,15550,,
C000344,,10900,8100,5900
C000345,,10900,8100,5900
C000346,,15550,,
C000347,,10900,8100,5900
C000348,,10900,8100,5900
C000349,,15550,,
C000350,,10900,8100,5900
C000351,,10900,8100,5900
C000352,,15550,,
C000353,,16300,13500,11250
C000354,,16300,13500,11250
C000355,,20950,,
C000356,,10900,8100,5900
C000357,,10900,8100,5900
C000358,,15550,,
C000359,,10900,8100,5900
C000360,,10900,8100,5900
C000361,,15550,,
C000362,,10900,8100,5900
C000363,,10900,8100,5900
C000364,,15550,,
C000365,,10900,8100,5900
C000366,,10900,8100,5900
C000367,,15550,,
C000368,,10900,8100,5900
C000369,,10900,8100,5900
C000370,,15550,,
C000371,,10900,8100,5900
C000372,,10900,8100,5900
C000373,,15550,,
C000374,,10900,8100,5900
C000375,,10900,8100,5900
C000376,,15550,,
C000377,,10900,8100,5900
C000378,,10900,8100,5900
C000379,,15550,,
C000380,,10900,8100,5900
C000381,,10900,8100,5900
C000382,,15550,,
C000383,,10900,8100,5900
C000384,,10900,8100,5900
C000385,,15550,,
C000386,,10900,8100,5900
C000387,,10900,8100,5900
C000388,,15550,,
C000389,,34950,28600,23450
C000390,,34950,28600,23450
C000391,,66450,,
C000392,,258850,251900,246350
C000393,,258850,251900,246350
C000394,,295950,,
C000395,,124750,111350,100550
C000396,,124750,111350,100550
C000397,,196750,,
C000398,,41600,35800,31200
C000399,,41600,35800,31200
C000400,,70100,,
C000401,,376850,369550,363600
C000402,,376850,369550,363600
C000403,,415950,,
C000404,,387200,379650,373500
C000405,,387200,379650,373500
C000406,,427600,,
C000407,,167600,162550,158500
C000408,,167600,162550,158500
C000409,,191800,,
C000410,,174600,170450,167100
C000411,,174600,170450,167100
C000412,,190350,,
C000413,,148850,144450,140800
C000414,,148850,144450,140800
C000415,,165050,,
C000416,,388900,382150,376700
C000417,,388900,382150,376700
C000418,,436550,,
C000419,,146950,143550,140850
C000420,,146950,143550,140850
C000421,,163050,,
C000422,,102250,98750,95900
C000423,,102250,98750,95900
C000424,,119100,,
C000425,,150150,147250,144950
C000426,,150150,147250,144950
C000427,,163600,,
C000428,,282350,279900,278000
C000429,,282350,279900,278000
C000430,,293200,,
C000431,,111250,107500,104500
C000432,,111250,107500,104500
C000433,,130300,,
C000434,,21500,16000,11600
C000435,,21500,16000,11600
C000436,,43450,,
C000437,,43400,37500,32750
C000438,,43400,37500,32750
C000439,,68550,,
C000440,,140450,128400,118650
C000441,,140450,128400,118650
C000442,,205950,,
C000443,,32450,29050,26250
C000444,,32450,29050,26250
C000445,,50850,,
C000446,,76350,71650,67850
C000447,,76350,71650,67850
C000448,,98750,,
C000449,,109500,105800,102750
C000450,,109500,105800,102750
C000451,,128100,,
C000452,,26100,23900,22150
C000453,,26100,23900,22150
C000454,,40400,,
C000455,,62450,57400,53350
C000456,,62450,57400,53350
C000457,,86600,,
C000458,,46400,41950,38300
C000459,,46400,41950,38300
C000460,,62550,,
C000461,,47250,44300,42000
C000462,,47250,44300,42000
C000463,,62050,,
C000464,,41450,38450,36000
C000465,,41450,38450,36000
C000466,,57550,,
C000467,,28000,25550,23700
C000468,,28000,25550,23700
C000469,,40650,,
C000470,,62400,60000,58050
C000471,,62400,60000,58050
C000472,,73250,,
C000473,,80450,76700,73750
C000474,,80450,76700,73750
C000475,,99550,,
C000476,,22250,19400,17100
C000477,,22250,19400,17100
C000478,,37600,,
C000479,,30100,25950,22650
C000480,,30100,25950,22650
C000481,,50450,,
C000482,,19650,16600,14200
C000483,,19650,16600,14200
C000484,,35650,,
C000485,,30700,26700,23450
C000486,,30700,26700,23450
C000487,,51900,,
C000488,,41450,36950,33300
C000489,,41450,36950,33300
C000490,,63200,,
C000491,,22850,20000,17700
C000492,,22850,20000,17700
C000493,,38200,,
C000494,,22200,18500,15500
C000495,,22200,18500,15500
C000496,,42450,,
C000497,,23400,19100,15700
C000498,,23400,19100,15700
C000499,,44400,,
C000500,,30800,24100,18700
C000501,,30800,24100,18700
C000502,,64100,,
C000503,,16900,14050,11750
C000504,,16900,14050,11750
C000505,,32150,,
C000506,,18700,14800,11650
C000507,,18700,14800,11650
C000508,,39750,,
