SKU,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9,18K SI IJ,14K SI IJ, 9K SI IJ,18K SI GH,14K SI GH,9K SI GH,18K VS GH,14K VS GH,9K VS GH,18K VVS GH,14K VVS GH,9K VVS GH,18K VVS EF,14K VVS EF,9K VVS EF
C000125,0,15798,13584,10815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14779,12565,9796,15798,13584,10815,17225,15011,12242,18855,16642,13873,19875,17661,14892
C000126,0,15798,13584,10815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14779,12565,9796,15798,13584,10815,17225,15011,12242,18855,16642,13873,19875,17661,14892
C000128,0,30457,26622,24201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26414,22579,20158,30457,26622,24201,33345,29509,27089,37966,34130,31709,40853,37018,34597
C000129,0,30457,26622,24201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26414,22579,20158,30457,26622,24201,33345,29509,27089,37966,34130,31709,40853,37018,34597
C000131,0,81791,78046,74232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73298,69552,65739,81791,78046,74232,90285,86539,82726,107272,103526,99713,115765,112019,108206
C000132,0,81791,78046,74232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73298,69552,65739,81791,78046,74232,90285,86539,82726,107272,103526,99713,115765,112019,108206
C000134,0,18533,16282,13493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16392,14142,11352,18533,16282,13493,20061,17811,15021,22508,20257,17468,24036,21786,18996
C000135,0,18533,16282,13493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16392,14142,11352,18533,16282,13493,20061,17811,15021,22508,20257,17468,24036,21786,18996
C000137,0,23663,20483,18341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20809,17629,15487,23663,20483,18341,25701,22521,20379,28962,25783,23641,31001,27821,25679
C000138,0,23663,20483,18341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20809,17629,15487,23663,20483,18341,25701,22521,20379,28962,25783,23641,31001,27821,25679
