SKU,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C000125,0,16987,14191,11181,0,0,0,0,0,15968,16987,18414,20044,21064,13172,14191,15618,17248,18268,10162,11181,12608,14238,15258
C000126,0,16987,14191,11181,0,0,0,0,0,15968,16987,18414,20044,21064,13172,14191,15618,17248,18268,10162,11181,12608,14238,15258
C000128,0,32071,27459,24706,0,0,0,0,0,28028,32071,34959,39579,42467,23416,27459,30347,34967,37855,20663,24706,27593,32214,35102
C000129,0,32071,27459,24706,0,0,0,0,0,28028,32071,34959,39579,42467,23416,27459,30347,34967,37855,20663,24706,27593,32214,35102
C000131,0,83660,79012,74815,0,0,0,0,0,75167,83660,92153,109140,117634,70519,79012,87506,104493,112986,66322,74815,83308,100295,108789
C000132,0,83660,79012,74815,0,0,0,0,0,75167,83660,92153,109140,117634,70519,79012,87506,104493,112986,66322,74815,83308,100295,108789
C000134,0,19722,16893,13863,0,0,0,0,0,17581,19722,21250,23697,25225,14753,16893,18422,20868,22397,11723,13863,15392,17838,19367
C000135,0,19722,16893,13863,0,0,0,0,0,17581,19722,21250,23697,25225,14753,16893,18422,20868,22397,11723,13863,15392,17838,19367
C000137,0,25106,21223,18787,0,0,0,0,0,22253,25106,27145,30406,32445,18370,21223,23262,26523,28562,15934,18787,20826,24087,26126
C000138,0,25106,21223,18787,0,0,0,0,0,22253,25106,27145,30406,32445,18370,21223,23262,26523,28562,15934,18787,20826,24087,26126
C000140,0,119077,112641,107301,0,0,0,0,0,110584,119077,136064,170038,191271,104148,112641,129628,163602,184835,98807,107301,124287,158261,179494
C000141,0,119077,112641,107301,0,0,0,0,0,110584,119077,136064,170038,191271,104148,112641,129628,163602,184835,98807,107301,124287,158261,179494
C000143,0,28266,23654,20901,0,0,0,0,0,25056,28266,30559,34228,36522,20444,23654,25947,29616,31910,17690,20901,23194,26863,29156
C000144,0,28266,23654,20901,0,0,0,0,0,25056,28266,30559,34228,36522,20444,23654,25947,29616,31910,17690,20901,23194,26863,29156
C000146,0,57585,50060,44276,0,0,0,0,0,53339,57585,63531,74572,78819,45813,50060,56005,67047,71294,40029,44276,50221,61263,65510
C000147,0,57585,50060,44276,0,0,0,0,0,53339,57585,63531,74572,78819,45813,50060,56005,67047,71294,40029,44276,50221,61263,65510
C000149,0,21183,15759,12686,0,0,0,0,0,19875,21183,22117,23612,24546,14451,15759,16693,18188,19122,11378,12686,13620,15115,16049
C000150,0,21183,15759,12686,0,0,0,0,0,19875,21183,22117,23612,24546,14451,15759,16693,18188,19122,11378,12686,13620,15115,16049
C000152,0,55819,49629,45817,0,0,0,0,0,47733,55819,61594,70835,76610,41543,49629,55404,64645,70420,37731,45817,51592,60833,66609
C000153,0,55819,49629,45817,0,0,0,0,0,47733,55819,61594,70835,76610,41543,49629,55404,64645,70420,37731,45817,51592,60833,66609
C000155,0,189743,184281,180785,0,0,0,0,0,171906,189743,225415,272978,314596,166445,184281,219954,267517,309134,162949,180785,216458,264021,305638
C000156,0,189743,184281,180785,0,0,0,0,0,171906,189743,225415,272978,314596,166445,184281,219954,267517,309134,162949,180785,216458,264021,305638
C000158,0,35604,29990,26421,0,0,0,0,0,31680,35604,38407,42892,45694,26066,29990,32793,37278,40080,22497,26421,29224,33709,36511
C000159,0,35604,29990,26421,0,0,0,0,0,31680,35604,38407,42892,45694,26066,29990,32793,37278,40080,22497,26421,29224,33709,36511
C000161,0,31205,25891,21420,0,0,0,0,0,28113,31205,33413,36946,39155,22800,25891,28100,31633,33841,18329,21420,23629,27162,29370
C000162,0,31205,25891,21420,0,0,0,0,0,28113,31205,33413,36946,39155,22800,25891,28100,31633,33841,18329,21420,23629,27162,29370
C000164,0,36318,30641,27029,0,0,0,0,0,32275,36318,39206,43826,46714,26598,30641,33529,38149,41037,22987,27029,29917,34538,37425
C000165,0,36318,30641,27029,0,0,0,0,0,32275,36318,39206,43826,46714,26598,30641,33529,38149,41037,22987,27029,29917,34538,37425
C000167,0,49703,42178,36394,0,0,0,0,0,43996,49703,53780,60303,64380,36471,42178,46255,52778,56855,30687,36394,40471,46994,51071
C000168,0,49703,42178,36394,0,0,0,0,0,43996,49703,53780,60303,64380,36471,42178,46255,52778,56855,30687,36394,40471,46994,51071
C000170,0,29778,24644,20236,0,0,0,0,0,26924,29778,31816,35078,37116,21791,24644,26683,29944,31983,17383,20236,22275,25536,27575
C000171,0,29778,24644,20236,0,0,0,0,0,26924,29778,31816,35078,37116,21791,24644,26683,29944,31983,17383,20236,22275,25536,27575
C000173,0,34076,27886,24074,0,0,0,0,0,30746,34076,36454,40259,42637,24556,27886,30264,34069,36447,20744,24074,26452,30257,32635
C000174,0,34076,27886,24074,0,0,0,0,0,30746,34076,36454,40259,42637,24556,27886,30264,34069,36447,20744,24074,26452,30257,32635
C000176,0,60541,54108,48706,0,0,0,0,0,52574,60541,66232,75336,81027,46141,54108,59799,68904,74594,40739,48706,54397,63502,69192
C000177,0,60541,54108,48706,0,0,0,0,0,52574,60541,66232,75336,81027,46141,54108,59799,68904,74594,40739,48706,54397,63502,69192
