sku,22k,18k,14k,9k
C007051,,16222,11575,7377
C007052,,16222,11575,7377
C007053,,13589,9220,6572
C007054,,13589,9220,6572
C007055,,13335,8966,6317
C007056,,13335,8966,6317
C007057,,15458,10155,7136
C007058,,15458,10155,7136
C007059,,10956,7885,5767
C007060,,10956,7885,5767
C007061,,13589,9220,6572
C007062,,13589,9220,6572
C007063,,15203,10021,7056
C007064,,15203,10021,7056
C007065,,25973,20839,16431
C007066,,25973,20839,16431
C007067,,26584,21937,17739
C007068,,26584,21937,17739
C007069,,32326,25925,22028
C007070,,32326,25925,22028
C007071,,37456,29810,23972
C007072,,37456,29810,23972
C007073,,43605,35869,30000
C007074,,43605,35869,30000
C007075,,27043,22426,18251
C007076,,27043,22426,18251
C007077,,16222,11616,8894
C007078,,16222,11616,8894
C007079,,14711,11672,9574
C007080,,14711,11672,9574
C007081,,14354,10681,8330
C007082,,14354,10681,8330
C007083,,16290,12222,9691
C007084,,16290,12222,9691
C007085,,15288,11162,8621
C007086,,15288,11162,8621
C007087,,17445,12533,9662
C007088,,17445,12533,9662
C007089,,18584,13370,10384
C007090,,18584,13370,10384
C007091,,15743,12040,9667
C007092,,15743,12040,9667
C007093,,17721,14412,12220
C007094,,17721,14412,12220
C007095,,18584,14700,12264
C007096,,18584,14700,12264
C007097,,19579,14486,11553
C007098,,19579,14486,11553
C007099,,17836,13800,11289
C007100,,17836,13800,11289
C007101,,85783,75678,65793
C007102,,85783,75678,65793
C007103,,58010,49527,40987
C007104,,58010,49527,40987
C007105,,16036,12090,9611
C007106,,16036,12090,9611
C007107,,21183,17114,14583
C007108,,21183,17114,14583
C007109,,15747,13008,10009
C007110,,15747,13008,10009
C007111,,156975,140141,122640
C007112,,156975,140141,122640
C007113,,155514,137904,121527
C007114,,155514,137904,121527
C007115,,116580,98945,81020
C007116,,116580,98945,81020
C007117,,132837,112932,94331
C007118,,132837,112932,94331
C007119,,121116,106818,91647
C007120,,121116,106818,91647
C007121,,108342,90890,74618
C007122,,108342,90890,74618
C007123,,151539,133078,114201
C007124,,151539,133078,114201
C007125,,131376,113898,96079
C007126,,131376,113898,96079
C007127,,107900,92291,75955
C007128,,107900,92291,75955
C007129,,76950,68625,60191
C007130,,76950,68625,60191
C007131,,16222,11575,7377
C007132,,16222,11575,7377
C007133,,15203,10021,7056
C007134,,15203,10021,7056
C007135,,16222,11575,7377
C007136,,16222,11575,7377
C007137,,15203,10021,7056
C007138,,15203,10021,7056
C007139,,14439,9621,6813
C007140,,14439,9621,6813
C007141,,16222,11575,7377
C007142,,16222,11575,7377
C007143,,8408,5533,3944
C007144,,8408,5533,3944
C007145,,15458,10155,7136
C007146,,15458,10155,7136
C007147,,16222,11575,7377
C007148,,16222,11575,7377
C007149,,16222,11575,7377
C007150,,16222,11575,7377
C007151,,16732,11842,7539
C007152,,16732,11842,7539
C007153,,14099,9487,6734
C007154,,14099,9487,6734
C007155,,16222,11575,7377
C007156,,16222,11575,7377
C007157,,15713,10289,7216
C007158,,15713,10289,7216
C007159,,16222,11575,7377
C007160,,16222,11575,7377
C007161,,16222,11575,7377
C007162,,16222,11575,7377
C007163,,17242,12108,7700
C007164,,17242,12108,7700
C007165,,16732,11842,7539
C007166,,16732,11842,7539
C007167,,52863,44611,39527
C007168,,52863,44611,39527
C007169,,90828,82320,73252
C007170,,90828,82320,73252
C007171,,9122,6452,4916
C007172,,9122,6452,4916
C007173,,56906,46647,36690
C007174,,56906,46647,36690
C007175,,48548,41872,36365
C007176,,48548,41872,36365
C007177,,19263,13802,10306
C007178,,19263,13802,10306
C007179,,18821,13688,9280
C007180,,18821,13688,9280
C007181,,30237,26110,23569
C007182,,30237,26110,23569
C007183,,15458,10155,7136
C007184,,15458,10155,7136
C007185,,28657,20282,15145
C007186,,28657,20282,15145
C007187,,27383,19616,13725
C007188,,27383,19616,13725
C007189,,23765,17005,12980
C007190,,23765,17005,12980
C007191,,27281,20089,14442
C007192,,27281,20089,14442
C007193,,19586,14092,10576
C007194,,19586,14092,10576
C007195,,28979,20970,15991
C007196,,28979,20970,15991
C007197,,30610,22601,17622
C007198,,30610,22601,17622
C007199,,31341,22725,17481
C007200,,31341,22725,17481
C007201,,19076,14136,11278
C007202,,19076,14136,11278
C007203,,21267,17141,14600
C007204,,21267,17141,14600
C007205,,25531,20107,17034
C007206,,25531,20107,17034
C007207,,20214,16331,13895
C007208,,20214,16331,13895
C007209,,17021,13623,11398
C007210,,17021,13623,11398
C007211,,17530,13890,11560
C007212,,17530,13890,11560
C007213,,20231,15805,13146
C007214,,20231,15805,13146
C007215,,23714,17282,13364
C007216,,23714,17282,13364
C007217,,27536,20534,16402
C007218,,27536,20534,16402
C007219,,16256,11609,7411
C007220,,16256,11609,7411
C007221,,15849,11179,8415
C007222,,15849,11179,8415
C007223,,77630,73261,70612
C007224,,77630,73261,70612
C007225,,82471,76736,73113
C007226,,82471,76736,73113
C007227,,95466,82017,69349
C007228,,95466,82017,69349
C007229,,88280,75792,63651
C007230,,88280,75792,63651
C007231,,101071,87356,74052
C007232,,101071,87356,74052
C007233,,102940,88425,74696
C007234,,102940,88425,74696
C007235,,108427,90791,72867
C007236,,108427,90791,72867
C007237,,138476,121242,103528
C007238,,138476,121242,103528
C007239,,134179,115500,98065
C007240,,134179,115500,98065
C007241,,110295,91860,74530
C007242,,110295,91860,74530
C007243,,50791,44601,40789
C007244,,50791,44601,40789
C007245,,50791,44601,40789
C007246,,50791,44601,40789
C007247,,50791,44601,40789
C007248,,50791,44601,40789
