sku,18k,14k,9k
C000125,15350,13800,12000
C000126,15350,13800,12000
C000127,23200,20550,17350
C000128,30050,27950,25400
C000129,30050,27950,25400
C000130,42150,38300,33750
C000131,76950,74400,71450
C000132,76950,74400,71450
C000133,92000,87300,81800
C000134,19200,17600,15750
C000135,19200,17600,15750
C000136,27200,24450,21250
C000137,24550,22650,20400
C000138,24550,22650,20400
C000139,34150,30900,27050
C000140,109200,105750,101800
C000141,109200,105750,101800
C000142,124650,119150,112650
C000143,27600,25500,22900
C000144,27600,25500,22900
C000145,38450,34700,30350
C000146,53900,50150,45800
C000147,53900,50150,45800
C000148,71800,65550,58250
C000149,18850,16450,13700
C000150,18850,16450,13700
C000151,29900,26000,21450
C000152,53150,50150,46550
C000153,53150,50150,46550
C000154,66800,61900,56200
C000155,175500,172700,169400
C000156,175500,172700,169400
C000157,188000,183550,178250
C000158,32950,30150,26900
C000159,32950,30150,26900
C000160,45700,41200,35850
C000161,29850,27150,24000
C000162,29850,27150,24000
C000163,42200,37800,32650
C000164,32400,29600,26250
C000165,32400,29600,26250
C000166,45350,40750,35350
C000167,57150,53300,48900
C000168,57150,53300,48900
C000169,74200,68100,60950
C000170,27550,24950,21850
C000171,27550,24950,21850
C000172,39700,35400,30300
C000173,31600,28600,25100
C000174,31600,28600,25100
C000175,45200,40350,34700
C000176,57800,53800,49100
C000177,57800,53800,49100
C000178,78300,71450,63350
C000179,38850,35750,32150
C000180,38850,35750,32150
C000181,52850,47850,42000
C000182,32800,30400,27500
C000183,32800,30400,27500
C000184,43800,39900,35300
C000185,32450,29300,25650
C000186,32450,29300,25650
C000187,46850,41700,35700
C000188,23150,20850,18100
C000189,23150,20850,18100
C000190,34900,30850,26150
C000191,27350,24950,22100
C000192,27350,24950,22100
C000193,38350,34450,29850
C000194,36150,31500,26050
C000195,36150,31500,26050
C000196,60250,52250,42800
C000197,33550,31100,28200
C000198,33550,31100,28200
C000199,45250,41200,36400
C000200,44950,39950,34050
C000201,44950,39950,34050
C000202,71050,62350,52100
C000203,154200,146350,137050
C000204,154200,146350,137050
C000205,194500,180950,165050
C000206,33550,30750,27450
C000207,33550,30750,27450
C000208,46450,41900,36500
C000209,31700,29200,26250
C000210,31700,29200,26250
C000211,43050,39000,34250
C000212,22800,20000,16700
C000213,22800,20000,16700
C000214,35700,31100,25800
C000215,30050,27550,24600
C000216,30050,27550,24600
C000217,41400,37350,32600
C000218,52450,48400,43700
C000219,52450,48400,43700
C000220,70600,64100,56550
C000221,16650,15000,13100
C000222,16650,15000,13100
C000223,25000,22200,18800
C000224,47850,42800,36900
C000225,47850,42800,36900
C000226,73950,65300,55050
C000227,62550,57500,51550
C000228,62550,57500,51550
C000229,88700,80000,69700
C000230,88750,79550,68700
C000231,88750,79550,68700
C000232,136600,120650,101900
C000233,42750,37750,31850
C000234,42750,37750,31850
C000235,68850,60200,49950
C000236,44350,41150,37300
C000237,44350,41150,37300
C000238,59200,53900,47750
C000239,40950,36800,31900
C000240,40700,36600,31750
C000241,62700,55500,47000
C000242,33550,31100,28200
C000243,33550,31100,28200
C000244,44900,40900,36200
C000245,26250,24550,22600
C000246,26250,24550,22600
C000247,34650,31750,28400
C000248,64000,60100,55450
C000249,64000,60100,55450
C000250,84150,77350,69400
C000251,107050,103200,98650
C000252,107050,103200,98650
C000253,126800,120200,112400
C000254,131700,127500,122600
C000255,131700,127500,122600
C000256,153100,145900,137450
C000257,125650,121450,116550
C000258,125650,121450,116550
C000259,146950,139800,131350
C000260,64800,56850,47500
C000261,64800,56850,47500
C000262,106350,92500,76250
C000263,35350,31550,26950
C000264,35350,31550,26950
C000265,55500,48800,40900
C000266,30100,27300,23950
C000267,30100,27300,23950
C000268,42950,38400,33050
C000269,33000,29850,26200
C000270,33000,29850,26200
C000271,47400,42300,36300
C000272,28700,25550,21900
C000273,28700,25550,21900
C000274,43050,38000,32000
C000275,42150,38300,33700
C000276,42150,38300,33700
C000277,62250,55550,47650
C000278,234450,230950,226850
C000279,234450,230950,226850
C000280,249900,244350,237800
C000281,210250,206150,201350
C000282,210250,206150,201350
C000283,230950,223950,215700
C000284,230400,227300,223600
C000285,230400,227300,223600
C000286,244250,239200,233400
C000287,171050,168150,164700
C000288,171050,168150,164700
C000289,182850,178400,173100
C000290,367000,362950,358200
C000291,367000,362950,358200
C000292,386950,380150,372150
C000293,245950,241550,236500
C000294,245950,241550,236500
C000295,267850,260500,251750
C000296,367800,363950,359350
C000297,367800,363950,359350
C000298,384750,378550,371300
C000299,230200,227100,223500
C000300,230200,227100,223500
C000301,243800,238900,233150
C000302,179500,175900,171600
C000303,179500,175900,171600
C000304,195700,189850,183050
C000305,377200,373550,369250
C000306,377200,373550,369250
C000307,393150,387350,380500
C000308,9800,8250,6250
C000309,9800,8250,6250
C000310,10900,9300,7350
C000311,9800,8250,6250
C000312,9800,8250,6250
C000313,10900,9300,7350
C000314,9800,8250,6250
C000315,9800,8250,6250
C000316,10900,9300,7350
C000317,9800,8250,6250
C000318,9800,8250,6250
C000319,10900,9300,7350
C000320,9800,8250,6250
C000321,9800,8250,6250
C000322,10900,9300,7350
C000323,9800,8250,6250
C000324,9800,8250,6250
C000325,10900,9300,7350
C000326,9800,8250,6250
C000327,9800,8250,6250
C000328,10900,9300,7350
C000329,9800,8250,6250
C000330,9800,8250,6250
C000331,10900,9300,7350
C000332,9800,8250,6250
