"sku","18k","14k","9k","Metal"
"C000125","13050","11850","10450","Yellow Gold"
"C000126","13050","11850","10450","White Gold"
"C000127","19550","17450","15000","Platinium"
"C000128","26200","24500","22500","Yellow Gold"
"C000129","26200","24500","22500","White Gold"
"C000130","35550","32700","29250","Platinium"
"C000131","41800","39800","37500","Yellow Gold"
"C000132","41800","39800","37500","White Gold"
"C000133","53500","50000","45900","Platinium"
"C000134","16550","15350","13900","Yellow Gold"
"C000135","16550","15350","13900","White Gold"
"C000136","23150","21050","18550","Platinium"
"C000137","21250","19750","18000","Yellow Gold"
"C000138","21250","19750","18000","White Gold"
"C000139","29200","26650","23650","Platinium"
"C000140","84300","81650","78550","Yellow Gold"
"C000141","84300","81650","78550","White Gold"
"C000142","96300","92200","87350","Platinium"
"C000143","23000","21350","19350","Yellow Gold"
"C000144","23000","21350","19350","White Gold"
"C000145","31850","29000","25600","Platinium"
"C000146","47000","44100","40650","Yellow Gold"
"C000147","47000","44100","40650","White Gold"
"C000148","60850","56250","50800","Platinium"
"C000149","15750","13900","11750","Yellow Gold"
"C000150","15750","13900","11750","White Gold"
"C000151","24300","21400","18000","Platinium"
"C000152","44600","42200","39450","Yellow Gold"
"C000153","44600","42200","39450","White Gold"
"C000154","55200","51550","47250","Platinium"
"C000155","109950","107750","105200","Yellow Gold"
"C000156","109950","107750","105200","White Gold"
"C000157","119700","116350","112400","Platinium"
"C000158","28800","26600","24050","Yellow Gold"
"C000159","28800","26600","24050","White Gold"
"C000160","38750","35350","31350","Platinium"
"C000161","22550","20450","18000","Yellow Gold"
"C000162","22550","20450","18000","White Gold"
"C000163","32150","28850","25000","Platinium"
"C000164","27900","25700","23100","Yellow Gold"
"C000165","27900","25700","23100","White Gold"
"C000166","37900","34500","30450","Platinium"
"C000167","47700","44800","41300","Yellow Gold"
"C000168","47700","44800","41300","White Gold"
"C000169","60950","56400","51050","Platinium"
"C000170","23550","21450","19050","Yellow Gold"
"C000171","23550","21450","19050","White Gold"
"C000172","32950","29750","25950","Platinium"
