sku,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C000605,0,17496,13438,10938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000606,0,17496,13438,10938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000632,0,24971,18864,13662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000633,0,24971,18864,13662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C001187,0,16392,12152,8130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C001188,0,16392,12152,8130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C001529,0,14524,13826,13126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C001530,0,14524,13826,13126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005591,0,29217,23775,20272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005592,0,29217,23775,20272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005711,0,42807,37364,33861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005712,0,42807,37364,33861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005714,0,42807,37364,33861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005715,0,42807,37364,33861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005717,0,27519,22076,18573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005718,0,27519,22076,18573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005723,0,19875,14432,10929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005724,0,19875,14432,10929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005726,0,25820,20377,16875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005727,0,25820,20377,16875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005729,0,25820,20377,16875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005730,0,25820,20377,16875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005735,0,19025,13583,10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005736,0,19025,13583,10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006371,0,30491,24609,19486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006372,0,30491,24609,19486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006373,0,30491,24609,19486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006374,0,30491,24609,19486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006375,0,30491,24609,19486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006376,0,30491,24609,19486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006377,0,24376,18494,13370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006378,0,24376,18494,13370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006379,0,25056,19173,14050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006380,0,25056,19173,14050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006381,0,20979,15096,9973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006382,0,20979,15096,9973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006383,0,21318,15436,10313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006384,0,21318,15436,10313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006385,0,23697,17814,12691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006386,0,23697,17814,12691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006387,0,23697,17814,12691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006388,0,23697,17814,12691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006389,0,20979,15096,9973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006390,0,20979,15096,9973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006391,0,20979,15096,9973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006392,0,20979,15096,9973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006393,0,29132,23250,18127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006394,0,29132,23250,18127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006615,0,46799,40400,35078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006616,0,46799,40400,35078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006617,0,46799,40400,35078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006618,0,46799,40400,35078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006619,0,46799,40400,35078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006620,0,46799,40400,35078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006621,0,31511,25112,19790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006622,0,31511,25112,19790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006623,0,33209,26810,21488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006624,0,33209,26810,21488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006625,0,23017,16618,11296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006626,0,23017,16618,11296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006627,0,23866,17468,12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006628,0,23866,17468,12146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006629,0,29812,23413,18091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006630,0,29812,23413,18091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006631,0,29812,23413,18091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006632,0,29812,23413,18091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006633,0,23017,16618,11296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006634,0,23017,16618,11296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006635,0,23017,16618,11296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006636,0,23017,16618,11296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006637,0,43401,37002,31680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006638,0,43401,37002,31680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007051,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007052,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007053,0,12910,8852,6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007054,0,12910,8852,6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007055,0,12655,8597,6097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007056,0,12655,8597,6097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007057,0,14609,9735,6883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007058,0,14609,9735,6883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007059,0,10447,7591,5590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007060,0,10447,7591,5590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007061,0,12910,8852,6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007062,0,12910,8852,6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007063,0,14354,9609,6807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007064,0,14354,9609,6807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007131,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007132,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007133,0,14354,9609,6807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007134,0,14354,9609,6807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007135,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007136,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007137,0,14354,9609,6807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007138,0,14354,9609,6807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007139,0,13674,9231,6579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007140,0,13674,9231,6579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007141,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007142,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007143,0,7899,5312,3810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007144,0,7899,5312,3810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007145,0,14863,9990,7138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007146,0,14863,9990,7138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007147,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007148,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007149,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007150,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007151,0,15883,11385,7264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007152,0,15883,11385,7264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007153,0,13420,9105,6503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007154,0,13420,9105,6503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007155,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007156,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007157,0,14863,9861,6959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007158,0,14863,9861,6959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007159,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007160,0,15373,11133,7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007163,0,16392,11638,7415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007164,0,16392,11638,7415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007165,0,15883,11385,7264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007166,0,15883,11385,7264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007183,0,14609,9735,6883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007184,0,14609,9735,6883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C008051,0,25820,18477,13775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C008052,0,25820,18477,13775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
