sku,18K,14K,9K
C000125,18652,16870,14800
C000126,18652,16870,14800
C000134,23080,21240,19112
C000135,23080,21240,19112
C000137,28332,26147,23560
C000138,28332,26147,23560
C000548,54265,50987,47077
C000549,54265,50987,47077
C000146,62085,57772,52770
C000147,62085,57772,52770
C000149,22677,19917,16755
C000150,22677,19917,16755
C000152,61222,57772,53632
C000153,61222,57772,53632
C000165,37360,34140,30287
C000164,37360,34140,30287
C000173,36440,32990,28965
C000174,36440,32990,28965
C000170,31782,28792,25227
C000171,31782,28792,25227
C000179,44777,41212,37072
C000180,44777,41212,37072
C000182,37820,35060,31725
C000183,37820,35060,31725
C000185,37417,33795,29597
C000186,37417,33795,29597
C000188,26722,24077,21815
C000189,26722,24077,21815
C000191,31552,28792,25515
C000192,31552,28792,25515
C000194,41672,36325,30057
C000195,41672,36325,30057
C000197,38682,35865,32530
C000198,38682,35865,32530
C000206,38682,35462,31667
C000207,38682,35462,31667
C000209,36555,33680,30287
C000210,36555,33680,30287
C000212,26320,23100,20205
C000213,26320,23100,20205
C000218,60417,55760,50355
C000219,60417,55760,50355
C000227,72032,66225,59382
C000228,72032,66225,59382
C000233,49262,43512,36727
C000234,49262,43512,36727
C000236,51102,47422,42995
C000237,51102,47422,42995
C000245,30287,28332,26090
C000246,30287,28332,26090
C000248,73700,69215,63867
C000249,73700,69215,63867
C000566,78587,74275,69215
C000567,78587,74275,69215
C000260,74620,65477,54725
C000261,74620,65477,54725
C000263,40752,36382,31092
C000264,40752,36382,31092
C000266,34715,31495,27642
C000267,34715,31495,27642
C000269,38050,34427,30230
C000270,38050,34427,30230
C000539,66972,64040,60647
C000540,66972,64040,60647
C000536,74677,71342,67432
C000537,74677,71342,67432
C000545,72550,68697,64212
C000546,72550,68697,64212
C000560,95435,91582,87040
C000561,95435,91582,87040
C000308,12270,10487,8187
C000309,12270,10487,8187
C000311,12270,10487,8187
C000312,12270,10487,8187
C000314,12270,10487,8187
C000315,12270,10487,8187
C000317,12270,10487,8187
C000318,12270,10487,8187
C000320,12270,10487,8187
C000321,12270,10487,8187
C000323,12270,10487,8187
C000324,12270,10487,8187
C000326,12270,10487,8187
C000327,12270,10487,8187
C000330,12270,10487,8187
C000329,12270,10487,8187
C000332,12270,10487,8187
C000333,12270,10487,8187
C000335,12270,10487,8187
C000336,12270,10487,8187
C000338,12270,10487,8187
C000339,12270,10487,8187
C000341,12270,10487,8187
C000342,12270,10487,8187
C000344,12270,10487,8187
C000345,12270,10487,8187
C000347,12270,10487,8187
C000348,12270,10487,8187
C000350,12270,10487,8187
C000351,12270,10487,8187
C000353,17847,16065,13765
C000354,17847,16065,13765
C000359,12270,10487,8187
C000360,12270,10487,8187
C000362,12270,10487,8187
C000363,12270,10487,8187
C000356,12270,10487,8187
C000357,12270,10487,8187
C000128,34657,32242,29310
C000129,34657,32242,29310
C000365,12270,10487,8187
C000366,12270,10487,8187
C000368,12270,10487,8187
C000369,12270,10487,8187
C000371,12270,10487,8187
C000372,12270,10487,8187
C000374,12270,10487,8187
C000375,12270,10487,8187
C000377,12270,10487,8187
C000378,12270,10487,8187
C000380,12270,10487,8187
C000381,12270,10487,8187
C000383,12270,10487,8187
C000384,12270,10487,8187
C000386,12270,10487,8187
C000387,12270,10487,8187
C000389,36267,32070,27067
C000390,36267,32070,27067
C000407,426290,417665,407545
C000406,426290,417665,407545
C000413,189620,185652,181110
C000412,189620,185652,181110
C000420,152130,149887,147242
C000419,152130,149887,147242
C000423,105900,103542,100840
C000422,105900,103542,100840
C000426,155465,153510,151267
C000425,155465,153510,151267
C000429,292257,290647,288807
C000428,292257,290647,288807
