SKU,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C000125,0,16987,14191,11181,0,0,0,0,0,15968,16987,150401,71684,97419,13172,14191,103574,63563,77022,10162,24706,91781,63714,64582
C000126,0,16987,14191,11181,0,0,0,0,0,15968,16987,115323,71684,90030,13172,27459,103574,79004,77022,20663,24706,48287,63714,90295
C000128,0,32071,27459,24706,0,0,0,0,0,28028,32071,115323,93597,90030,23416,27459,56632,79004,98641,20663,74815,48287,60675,90295
C000129,0,32071,27459,24706,0,0,0,0,0,28028,32071,64754,93597,106762,23416,79012,56632,73115,98641,66322,74815,57599,60675,112400
C000131,0,83660,79012,74815,0,0,0,0,0,75167,83660,64754,86123,106762,70519,79012,72889,73115,123331,66322,13863,57599,84774,112400
C000132,0,83660,79012,74815,0,0,0,0,0,75167,83660,87482,86123,134451,70519,16893,72889,93120,123331,11723,13863,54424,84774,53306
C000134,0,19722,16893,13863,0,0,0,0,0,17581,19722,87482,101241,134451,14753,16893,66863,93120,59878,11723,18787,54424,105266,53306
C000135,0,19722,16893,13863,0,0,0,0,0,17581,19722,79872,101241,67607,14753,21223,66863,116197,59878,15934,18787,75941,105266,179741
C000137,0,25106,21223,18787,0,0,0,0,0,22253,25106,79872,127316,67607,18370,21223,84287,116197,189379,15934,107301,75941,49484,179741
C000138,0,25106,21223,18787,0,0,0,0,0,22253,25106,92408,127316,199000,18370,112641,84287,56056,189379,98807,107301,93850,49484,160158
C000140,0,119077,112641,107301,0,0,0,0,0,110584,119077,92408,63785,199000,104148,112641,104781,56056,166624,98807,20901,93850,163688,160158
C000141,0,119077,112641,107301,0,0,0,0,0,110584,119077,115901,63785,174115,104148,23654,104781,173327,166624,17690,20901,43369,163688,170952
C000143,0,28266,23654,20901,0,0,0,0,0,25056,28266,115901,182948,174115,20444,23654,49941,173327,178817,17690,44276,43369,145635,170952
C000144,0,28266,23654,20901,0,0,0,0,0,25056,28266,57670,182948,187959,20444,50060,49941,152100,178817,40029,44276,138004,145635,154340
C000146,0,57585,50060,44276,0,0,0,0,0,53339,57585,57670,159591,187959,45813,50060,147642,152100,165594,40029,12686,138004,155664,154340
C000147,0,57585,50060,44276,0,0,0,0,0,53339,57585,157264,159591,177342,45813,15759,147642,163529,165594,11378,12686,122397,155664,79855
C000149,0,21183,15759,12686,0,0,0,0,0,19875,21183,157264,172671,177342,14451,15759,128862,163529,86583,11378,45817,122397,141176,79855
C000150,0,21183,15759,12686,0,0,0,0,0,19875,21183,136353,172671,92578,14451,49629,128862,152429,86583,37731,45817,131203,141176,31747
C000152,0,55819,49629,45817,0,0,0,0,0,47733,55819,136353,164177,92578,41543,49629,139068,152429,36105,37731,180785,131203,73145,31747
C000153,0,55819,49629,45817,0,0,0,0,0,47733,55819,148210,164177,41193,41543,184281,139068,79874,36105,162949,180785,120112,73145,154682
C000155,0,189743,184281,180785,0,0,0,0,0,171906,189743,148210,85868,41193,166445,184281,131366,79874,158883,162949,26421,120112,29284,154682
C000156,0,189743,184281,180785,0,0,0,0,0,171906,189743,143114,85868,166046,166445,29990,131366,33642,158883,22497,26421,62410,29284,40051
C000158,0,35604,29990,26421,0,0,0,0,0,31680,35604,143114,38730,166046,26066,29990,69138,33642,43714,22497,21420,62410,143555,40051
C000159,0,35604,29990,26421,0,0,0,0,0,31680,35604,75133,38730,49517,26066,25891,69138,147756,43714,18329,21420,25343,143555,41883
C000161,0,31205,25891,21420,0,0,0,0,0,28113,31205,75133,154920,49517,22800,25891,29701,147756,46192,18329,27029,25343,37928,41883
C000162,0,31205,25891,21420,0,0,0,0,0,28113,31205,34789,154920,53593,22800,30641,29701,41590,46192,22987,27029,119638,37928,40051
C000164,0,36318,30641,27029,0,0,0,0,0,32275,36318,34789,47393,53593,26598,30641,123839,41590,43714,22987,36394,119638,39929,40051
C000165,0,36318,30641,27029,0,0,0,0,0,32275,36318,131002,47393,49517,26598,42178,123839,44239,43714,30687,36394,34531,39929,41883
C000167,0,49703,42178,36394,0,0,0,0,0,43996,49703,131002,51640,49517,36471,42178,38193,44239,46192,30687,20236,34531,37928,41883
C000168,0,49703,42178,36394,0,0,0,0,0,43996,49703,43996,51640,53593,36471,24644,38193,41590,46192,17383,20236,36804,37928,40051
C000170,0,29778,24644,20236,0,0,0,0,0,26924,29778,43996,47393,53593,21791,24644,41113,41590,43714,17383,24074,36804,39929,40051
C000171,0,29778,24644,20236,0,0,0,0,0,26924,29778,48514,47393,49517,21791,27886,41113,44239,43714,20744,24074,34531,39929,41883
C000173,0,34076,27886,24074,0,0,0,0,0,30746,34076,48514,51640,49517,24556,27886,38193,44239,46192,20744,48706,34531,37928,41883
C000174,0,34076,27886,24074,0,0,0,0,0,30746,34076,43996,51640,53593,24556,54108,38193,41590,46192,40739,48706,36804,37928,41446
C000176,0,60541,54108,48706,0,0,0,0,0,52574,60541,43996,47393,53593,46141,54108,41113,41590,44463,40739,31247,36804,39929,41446
C000177,0,60541,54108,48706,0,0,0,0,0,52574,60541,48514,47393,49771,46141,35166,41113,44239,44463,26384,31247,34531,39929,40379
C000179,0,41597,35166,31247,0,0,0,0,0,36734,41597,48514,51640,49771,30303,35166,38193,44239,44257,26384,27906,34531,39238,40379
C000180,0,41597,35166,31247,0,0,0,0,0,36734,41597,43996,51640,50621,30303,30979,38193,42255,44257,23269,27906,36804,39238,41446
C000182,0,36403,30979,27906,0,0,0,0,0,31765,36403,43996,47563,50621,26341,30979,41113,42255,44463,23269,24395,36804,38511,41446
C000183,0,36403,30979,27906,0,0,0,0,0,31765,36403,48514,47563,49771,26341,28421,41113,42389,44463,21065,24395,35705,38511,40379
C000185,0,35180,28421,24395,0,0,0,0,0,31850,35180,48514,48752,49771,25091,28421,38721,42389,44257,21065,16331,35705,39238,40379
C000186,0,35180,28421,24395,0,0,0,0,0,31850,35180,44030,48752,50621,25091,19295,38721,42255,44257,14191,16331,35521,39238,41446
C000188,0,24478,19295,16331,0,0,0,0,0,22338,24478,44030,47563,50621,17155,19295,39399,42255,44463,14191,20839,35521,38511,41446
C000189,0,24478,19295,16331,0,0,0,0,0,22338,24478,45762,47563,49771,17155,23912,39399,42389,44463,17748,20839,35705,38511,40379
C000191,0,29336,23912,20839,0,0,0,0,0,26245,29336,45762,48752,49771,20821,23912,38721,42389,44257,17748,25626,35705,39238,40379
C000192,0,29336,23912,20839,0,0,0,0,0,26245,29336,44030,48752,50621,20821,31981,38721,42255,44257,23248,25626,35521,39238,19999
C000194,0,39240,31981,25626,0,0,0,0,0,36861,39240,44030,47563,50621,29603,31981,39399,42255,22314,23248,28951,35521,38511,19999
C000195,0,39240,31981,25626,0,0,0,0,0,36861,39240,45762,47563,25905,29603,33148,39399,42389,22314,25553,28951,35705,38511,27474
